,name,avg-250d,max-250d,strategy-250d,bs-250d,wm-250d,wq-250d,wh-250d,wy-250d,mq-250d,mh-250d,my-250d,qh-250d,qy-250d,hy-250d,wmq-250d,wmqh-250d,wmqhy-250d,mqh-250d,mqhy-250d,qhy-250d,avg-500d,max-500d,strategy-500d,bs-500d,wm-500d,wq-500d,wh-500d,wy-500d,mq-500d,mh-500d,my-500d,qh-500d,qy-500d,hy-500d,wmq-500d,wmqh-500d,wmqhy-500d,mqh-500d,mqhy-500d,qhy-500d,avg-all,max-all,strategy-all,bs-all,wm-all,wq-all,wh-all,wy-all,mq-all,mh-all,my-all,qh-all,qy-all,hy-all,wmq-all,wmqh-all,wmqhy-all,mqh-all,mqhy-all,qhy-all
'601601,中国太保,1.0635513390036422,1.223404818756814,wm,B,1.223404818756814,1.174045453149338,1.0934059091831707,1.1623306740914354,1.0766379225831826,1.0253594855809285,1.117565230281731,0.9526034575426024,1.1101910492426132,1.101033066510683,1.1011557697319396,0.9852389380033493,0.9699898435571087,0.927929111128745,0.9863581644976309,1.0095725302170022,0.8944480581241607,1.000180672758129,wy,B,0.766814312367325,0.9147407554291129,0.8333870495427387,1.000180672758129,0.83892295902017,0.8285822107081157,0.9132499525509897,0.8018158012637634,0.9754215567970006,0.9415066844199733,0.8920967105911691,0.8543624591042657,0.9332496880914897,0.8398245524730118,0.9815282416988013,0.9954853231705191,2.0925070751650052,3.695217935039715,wq,B,3.650370468287932,3.695217935039715,2.3139633581469683,1.9389182674712617,1.313071855305123,1.0816113845502466,1.1588461158007524,1.7320564027255372,1.418707684876284,1.8955192535898238,3.0254113517180077,2.0672953271829195,2.4674483719222033,1.3443664827371968,2.082315679837631,2.2949932634484824
'002253,川大智胜,0.9382966323435564,1.0803335474101576,wmqh,S,1.0532228580203387,0.9401623173373646,0.8235862828886323,0.8465754471314693,0.9976630309881389,0.7867206230252797,0.7275481789005849,1.0174216132207528,0.8165464885546294,0.924743914513217,0.9777986658114544,1.0803335474101576,1.0,1.0371972241584968,0.9772725303199999,1.0059533952163866,0.9096898764753061,1.2241297118326675,wm,B,1.2241297118326675,0.8345877955888478,0.7793017949151249,0.8465754471314693,0.7940138542331008,0.627836885288823,0.7275481789005849,0.9555502212314159,0.8165464885546294,0.924743914513217,0.9234470343099771,1.0803335474101576,1.0,1.0371972241584968,0.9772725303199999,1.0059533952163866,5.277568724671944,55.72710680699604,wm,B,55.72710680699604,7.4634565663359265,1.922978277283924,1.14883661737421,1.5529195405616822,0.8166632449919102,1.0606304471267796,0.35751082082532787,2.084659884762565,1.6598002250762127,6.945778796519866,1.4611751527198777,1.1276544385490996,0.3346153540290205,0.3321934046899067,0.4451200169087599
'600999,招商证券,1.08688155397033,1.3973154172825732,wm,B,1.3973154172825732,1.1140955738918692,1.082429481111602,1.219405853763112,1.0039156128527797,1.0517177116511192,1.1553502688999442,1.1965991104274583,0.9680629203679777,1.0293962578344589,1.1393514719655775,1.1775759227292437,0.9583752951092922,1.0723318228078942,0.8611667100768248,0.9630154327535582,1.010925601339942,1.2271775386220747,wm,B,1.2271775386220747,1.0874797355519874,1.0504745163730032,1.0711334874612586,0.8169884246162605,0.9756425531733985,1.0655890296229409,1.137183261137337,0.8694153749464069,0.892974753739314,1.0121065849289006,1.1568435128713996,0.9583752951092922,1.1004268750120265,0.8611667100768248,0.8918319681966489,1.9353997205667948,7.465634074683745,wm,B,7.465634074683745,2.9862423583082442,2.8254516172926363,1.3902541135948143,0.8645128966502318,1.1034124338213827,1.0351247495321105,0.8322912965854127,0.49542158892605553,0.8667884977958684,3.123262715317486,2.5150733685330806,2.0611704378278564,1.1604733062739316,1.2687436256292524,0.9725384482966081
'000028,国药一致,0.9764551860627015,1.3961897972834572,wm,B,1.3961897972834572,1.1334651447757735,0.9234623724198654,0.9086789430382726,0.9008413317005856,0.8125316667631507,0.8318484312128703,0.8695345197330073,0.9187310581083482,1.0784861764765423,1.0650766644552512,0.9008481599854812,1.0,0.8230252869052357,1.0,1.0605634241453856,0.926959402522134,1.2911313629352124,wm,B,1.2911313629352124,0.8933017224391534,0.8856867248438927,0.9086789430382726,0.6630247982234283,0.8125316667631507,0.8318484312128703,0.8695345197330073,0.9187310581083482,1.0784861764765423,0.8939581655441664,0.9008481599854812,1.0,0.8230252869052357,1.0,1.0605634241453856,94.50306890292305,1352.9732928050164,wm,B,1352.9732928050164,17.19188777924007,31.22430982027533,15.73126262761074,1.5078448468793593,8.931630551224323,9.084841863968165,10.103952262031369,7.509750625831189,8.12460180279301,19.921921247854772,9.507014301861823,6.606829344599093,3.3462987096586345,2.7863368590266204,7.49732699889806
'300327,中颖电子,1.2332075868094963,1.5478005856376271,wm,B,1.5478005856376271,1.4658327514115155,1.1860315782706579,1.2561336508070413,1.0559771863726382,1.0647038722398197,1.3301144094867452,1.2915452863226413,1.1418660564934686,1.3152334762111073,1.3580086924875052,1.1690891875488132,1.184253344110336,1.0061754042673399,1.0808989521329644,1.27765695515172,1.1280304543783226,1.6235929673761433,wm,B,1.6235929673761433,1.330653341637915,0.9295112795032744,1.1101806478605774,0.7469665590319309,0.723094678721839,1.320573218510955,1.155111344232429,1.071174346998663,1.3152334762111073,1.1942620262842207,1.0752716818528192,1.184253344110336,0.910052450436264,1.0808989521329644,1.27765695515172,4.090734841754184,14.662644342126647,wm,B,14.662644342126647,9.699443087878972,1.7933433718968064,4.929913683452514,1.6238563430100454,1.4626211762805896,3.4746051415873453,1.282263604305936,3.22072044995319,6.347104989550615,7.27050359629041,3.011668280742948,2.9547100925017755,1.126116061497419,1.1994380503121387,1.3928051966795953
'002183,怡 亚 通,0.9138828971066139,1.104145944888455,wm,B,1.104145944888455,1.0195836300063794,0.8796044156281669,0.8961254155899433,0.7874192751610549,0.8096827990992908,0.7697071732350533,0.7503783603640435,1.0,1.0,0.8705922656577185,0.9519400190238446,1.0,0.7829470550518707,1.0,1.0,0.8500284354957152,1.0675710562303,wm,B,1.0675710562303,0.8700926282844503,0.7983743133673668,0.8961254155899433,0.5416394918748831,0.6767434544620958,0.7697071732350533,0.5393225320077876,1.0,1.0,0.8161834409040082,0.949441176473907,1.0,0.6752542855016456,1.0,1.0,5.6067489478932,32.31394893651076,wm,B,32.31394893651076,3.5237459129168305,2.664154860785572,3.826210148430873,1.9693645324320848,2.5496540616950574,2.821965159672096,2.3462939133174108,5.031639372589922,3.134460215107646,7.19411364677619,8.12546637547882,4.288805657829791,4.249014238887114,3.056590007528747,2.612556126332277
'300010,立思辰,1.3166472716003788,2.1239262001740693,wm,B,2.1239262001740693,1.3040516069480208,1.4322538063250903,1.4498493110908124,1.0583722315401267,1.1006337314639738,1.1378044413197839,1.125118450477818,1.3162740571290161,1.3202511735929314,1.3691095434906597,1.3036966593214738,1.2307957184751552,1.1645370247981899,1.3418679917554044,1.287814397703537,1.2199630176395164,2.4610505110133234,wm,B,2.4610505110133234,1.337688294807971,1.3697872422688657,1.32377507460803,0.82279954568362,1.0160971276431288,0.8554457314839748,0.6803050673401363,0.9048164718484976,1.3202511735929314,1.4631188139952158,1.2475181584091297,1.2307957184751552,0.8562769616033414,1.3418679917554044,1.287814397703537,5.7151828766586705,15.529142567052801,wm,B,15.529142567052801,6.3183904703112175,8.416435786451673,4.645614065330369,2.709126347906345,6.014523013755652,3.0075893990714784,2.950561024056728,4.56964525832669,4.988334705335643,4.82962679821465,4.871817034082959,3.9866310717459568,6.880592138653877,7.434431824537843,4.2904645217048305
'600708,光明地产,1.0924978999947346,1.6531323808588048,wm,B,1.6531323808588048,1.2776262305049435,1.3539945695832971,0.9612038433828477,1.2398696391251773,1.1973069888568413,0.7910019890490316,0.988008023751675,0.7050655807983859,0.5531944547213712,1.5490773108603897,1.4665597669286001,0.9899726279705869,1.245957825323416,0.8410595807214666,0.6669355874789185,1.011167296714208,1.8402454685229463,wm,B,1.8402454685229463,1.2400359039799627,1.292203329106724,0.8765388294838534,0.9777234461387521,1.087421449838695,0.6563199206227889,0.7801914580431418,0.6792820712478119,0.48562646690713035,1.5049225514855056,1.4200609543521574,0.9585845095168685,1.1061692829680392,0.7466980458175385,0.5266530593954142,38.284494593376486,567.0049668904679,wm,B,567.0049668904679,13.373399710954274,2.031906797977306,1.897888409708114,0.6322651587223654,0.13596770050368595,0.5105951815620562,0.07202628433519097,0.5731871116850616,1.1780843194184845,16.93722322619424,4.31504849615689,3.1135023564192084,0.1945199518827959,0.28776959085172543,0.2935623071845036
'601126,四方股份,0.9995755157533978,1.211924706426294,wm,B,1.211924706426294,1.0576844049878718,1.004368088362954,0.9266849201689852,1.0400580247317335,1.196983152445474,0.9908795692247926,0.9926805394176421,0.8730415979323181,0.8005078566169288,1.1363668113980767,1.0438277072164701,0.9706724964668261,0.9750811637006662,0.8782973508782268,0.8941498620791051,0.9815039761386334,1.2153985577347195,mh,S,1.1493637276823259,1.0928888106907373,1.0139704462952426,0.9266849201689852,0.8983235516107524,1.2153985577347195,0.9908795692247926,0.9409971373828495,0.8730415979323181,0.8005078566169288,1.1450923151575394,0.9894813541805038,0.9706724964668261,0.9243140641162826,0.8782973508782268,0.8941498620791051,1.2929642906490058,4.755631154141094,wm,B,4.755631154141094,1.2765119276706898,1.1004525005669445,1.4117713562061869,0.5392582543183831,0.8485909753167208,1.254523598234759,1.1084756610528248,0.5780160547458314,0.5875810282324685,1.639526068963515,1.6294690981217963,1.346540241172413,0.7783905256548529,0.8033755558755753,1.0293146501100376
'601998,中信银行,1.0314491985545988,1.2386431720403268,wm,B,1.2386431720403268,1.1426975154192878,1.0556957214382752,0.9529238314694648,1.055875037747829,0.9597192207902167,0.8790983239572555,0.9679357173021941,1.0286359326031227,1.1041172993746595,1.1212774797861664,1.0216704267647039,1.0232571960093952,0.9243441451920135,0.9817280365873897,1.0455681203912799,0.9551485615403161,1.180183554737699,wm,B,1.180183554737699,1.0178956827131638,1.0526023471299244,0.8844883061372445,0.9954053100042266,0.8702188857880272,0.7918737249758924,0.8829145718116714,0.884342617443025,1.0535587583046173,1.1480237958348751,0.9264069463823426,0.9278457607123639,0.83066042345235,0.8822283678957316,0.9537279313218996,1.954485694240147,8.731600109570754,wm,B,8.731600109570754,3.246573274759724,2.3198810324959185,1.2160843850659668,1.439223788452742,1.1688378923946925,0.6069446011489559,1.0420531132319788,0.842847953583744,1.4090282532355436,3.4478840939349604,1.772406440728152,1.1798677886783835,0.9765476382571943,0.9014944197341777,0.9704963225694657
